Iteration,Discriminator Loss,Generator Loss
2520,1.331414,0.654748
2530,1.362114,0.637431
2540,1.341771,0.680977
2550,1.302810,0.531082
2560,1.316974,0.677108
2570,1.339770,0.787693
2580,1.360329,0.698545
2590,1.354694,0.593680
2600,1.363643,0.636967
2610,1.352453,0.757671
2620,1.387658,0.780863
2630,1.376566,0.660941
2640,1.362641,0.639589
2650,1.338853,0.637568
2660,1.368634,0.713685
2670,1.338435,0.709336
2680,1.370998,0.611553
2690,1.343703,0.570846
2700,1.386677,0.602979
2710,1.357900,0.821457
2720,1.351245,0.810954
2730,1.370500,0.797117
2740,1.366364,0.813812
2750,1.348716,0.792174
2760,1.375940,0.843750
2770,1.354290,0.795649
2780,1.351075,0.699493
2790,1.327275,0.609883
2800,1.357877,0.548894
2810,1.369776,0.654170
2820,1.381471,0.799599
2830,1.356413,0.709179
2840,1.331043,0.601407
2850,1.323430,0.578844
2860,1.366322,0.652237
2870,1.366136,0.703241
2880,1.389396,0.547277
2890,1.374703,0.674105
2900,1.336978,0.665068
2910,1.349730,0.765389
2920,1.363701,0.637227
2930,1.355652,0.675668
2940,1.301211,0.732370
2950,1.357224,0.786724
2960,1.395942,0.530554
2970,1.346688,0.576503
2980,1.349646,0.720792
2990,1.317739,0.693480
3000,1.358345,0.479490
3010,1.371583,0.615847
3020,1.368665,0.645269
3030,1.353744,0.740233
3040,1.362561,0.782542
3050,1.363152,0.744673
3060,1.366437,0.623614
3070,1.375453,0.641340
3080,1.343622,0.766658
3090,1.343285,0.572516
3100,1.352061,0.831924
3110,1.344005,0.584724
3120,1.340291,0.667108
3130,1.322486,0.788222
3140,1.366518,0.687739
3150,1.346775,0.771380
3160,1.346778,0.738290
3170,1.348105,0.539851
3180,1.336223,0.583765
3190,1.366567,0.683591
3200,1.363662,0.764717
3210,1.330975,0.849000
3220,1.349970,0.680071
3230,1.328169,0.656274
3240,1.321523,0.643987
3250,1.308002,0.750472
3260,1.312141,0.730138
3270,1.363942,0.701410
3280,1.311257,0.817671
3290,1.361479,0.721131
3300,1.353475,0.675051
3310,1.317167,0.490249
3320,1.374443,0.634330
3330,1.344111,0.743492
3340,1.348093,0.612855
3350,1.355302,0.650521
3360,1.341832,0.801629
3370,1.394581,0.803801
3380,1.328176,0.662443
3390,1.333582,0.577068
3400,1.362898,0.764374
3410,1.318483,0.584399
3420,1.346065,0.665718
3430,1.358910,0.576247
3440,1.359761,0.678547
3450,1.330926,0.819040
3460,1.308295,0.768608
3470,1.356160,0.642347
3480,1.349534,0.603068
3490,1.345176,0.732634
3500,1.349080,0.752439
3510,1.385202,0.561853
3520,1.352269,0.634690
3530,1.345366,0.638816
3540,1.306937,0.850527
3550,1.363722,0.612906
3560,1.353869,0.759840
3570,1.345081,0.617738
3580,1.342928,0.569715
3590,1.345724,0.760596
3600,1.314144,0.696338
3610,1.353016,0.700976
3620,1.323829,0.711061
3630,1.303132,0.868458
3640,1.347017,0.634374
3650,1.323835,0.759290
3660,1.314927,0.814485
3670,1.295096,0.772367
3680,1.313053,0.745270
3690,1.336524,0.647050
3700,1.306890,0.860431
3710,1.337501,0.595074
3720,1.346682,0.796376
3730,1.365550,0.609828
3740,1.342076,0.619187
